signal,horizon_h,n,ic,hit_rate
net_twap_hype,4,0,,
net_twap_hype,24,0,,
net_twap_hype,72,0,,
net_twap_hype,168,0,,
net_twap_full_hype,4,0,,
net_twap_full_hype,24,0,,
net_twap_full_hype,72,0,,
net_twap_full_hype,168,0,,
twap_spot_sell_hype,4,0,,
twap_spot_sell_hype,24,0,,
twap_spot_sell_hype,72,0,,
twap_spot_sell_hype,168,0,,
twap_spot_buy_hype,4,0,,
twap_spot_buy_hype,24,0,,
twap_spot_buy_hype,72,0,,
twap_spot_buy_hype,168,0,,
cvd_perp_1h,4,0,,
cvd_perp_1h,24,0,,
cvd_perp_1h,72,0,,
cvd_perp_1h,168,0,,
cvd_perp_4h,4,0,,
cvd_perp_4h,24,0,,
cvd_perp_4h,72,0,,
cvd_perp_4h,168,0,,
cvd_perp_24h,4,0,,
cvd_perp_24h,24,0,,
cvd_perp_24h,72,0,,
cvd_perp_24h,168,0,,
cvd_spot_24h,4,0,,
cvd_spot_24h,24,0,,
cvd_spot_24h,72,0,,
cvd_spot_24h,168,0,,
book_imbalance,4,0,,
book_imbalance,24,0,,
book_imbalance,72,0,,
book_imbalance,168,0,,
book_spot_imbalance,4,0,,
book_spot_imbalance,24,0,,
book_spot_imbalance,72,0,,
book_spot_imbalance,168,0,,
book_spread_bps,4,0,,
book_spread_bps,24,0,,
book_spread_bps,72,0,,
book_spread_bps,168,0,,
funding_rate,4,13334,-0.019,0.498
funding_rate,24,13314,-0.03,0.498
funding_rate,72,13266,-0.04,0.515
funding_rate,168,13170,-0.09,0.5
perp_premium,4,13334,-0.034,0.485
perp_premium,24,13314,-0.062,0.474
perp_premium,72,13266,-0.08,0.465
perp_premium,168,13170,-0.134,0.448
oi_delta,4,0,,
oi_delta,24,0,,
oi_delta,72,0,,
oi_delta,168,0,,
spot_perp_basis,4,0,,
spot_perp_basis,24,0,,
spot_perp_basis,72,0,,
spot_perp_basis,168,0,,
unstake_queue_hype,4,0,,
unstake_queue_hype,24,0,,
unstake_queue_hype,72,0,,
unstake_queue_hype,168,0,,
unstake_maturing_24h,4,0,,
unstake_maturing_24h,24,0,,
unstake_maturing_24h,72,0,,
unstake_maturing_24h,168,0,,
unstake_q_delta,4,0,,
unstake_q_delta,24,0,,
unstake_q_delta,72,0,,
unstake_q_delta,168,0,,
total_staked_hype,4,0,,
total_staked_hype,24,0,,
total_staked_hype,72,0,,
total_staked_hype,168,0,,
staked_delta,4,0,,
staked_delta,24,0,,
staked_delta,72,0,,
staked_delta,168,0,,
af_buy_rate,4,0,,
af_buy_rate,24,0,,
af_buy_rate,72,0,,
af_buy_rate,168,0,,
af_buy_hype_window,4,0,,
af_buy_hype_window,24,0,,
af_buy_hype_window,72,0,,
af_buy_hype_window,168,0,,
cex_net_flow_hype,4,0,,
cex_net_flow_hype,24,0,,
cex_net_flow_hype,72,0,,
cex_net_flow_hype,168,0,,
cex_inflow_hype,4,0,,
cex_inflow_hype,24,0,,
cex_inflow_hype,72,0,,
cex_inflow_hype,168,0,,
cex_balance_delta,4,0,,
cex_balance_delta,24,0,,
cex_balance_delta,72,0,,
cex_balance_delta,168,0,,
holder_top10_share,4,0,,
holder_top10_share,24,0,,
holder_top10_share,72,0,,
holder_top10_share,168,0,,
holder_top10_delta,4,0,,
holder_top10_delta,24,0,,
holder_top10_delta,72,0,,
holder_top10_delta,168,0,,
holder_top100_share,4,0,,
holder_top100_share,24,0,,
holder_top100_share,72,0,,
holder_top100_share,168,0,,
lsr_agg_long_frac,4,0,,
lsr_agg_long_frac,24,0,,
lsr_agg_long_frac,72,0,,
lsr_agg_long_frac,168,0,,
lsr_binance_global,4,0,,
lsr_binance_global,24,0,,
lsr_binance_global,72,0,,
lsr_binance_global,168,0,,
lsr_binance_top_pos,4,0,,
lsr_binance_top_pos,24,0,,
lsr_binance_top_pos,72,0,,
lsr_binance_top_pos,168,0,,
lsr_okx_account,4,0,,
lsr_okx_account,24,0,,
lsr_okx_account,72,0,,
lsr_okx_account,168,0,,
lsr_binance_taker,4,0,,
lsr_binance_taker,24,0,,
lsr_binance_taker,72,0,,
lsr_binance_taker,168,0,,
cex_oi_total_hype,4,0,,
cex_oi_total_hype,24,0,,
cex_oi_total_hype,72,0,,
cex_oi_total_hype,168,0,,
cex_oi_delta,4,0,,
cex_oi_delta,24,0,,
cex_oi_delta,72,0,,
cex_oi_delta,168,0,,
cex_liq_net_24h,4,0,,
cex_liq_net_24h,24,0,,
cex_liq_net_24h,72,0,,
cex_liq_net_24h,168,0,,
cex_liq_long_24h,4,0,,
cex_liq_long_24h,24,0,,
cex_liq_long_24h,72,0,,
cex_liq_long_24h,168,0,,
cex_liq_short_24h,4,0,,
cex_liq_short_24h,24,0,,
cex_liq_short_24h,72,0,,
cex_liq_short_24h,168,0,,
hl_liq_net_24h,4,0,,
hl_liq_net_24h,24,0,,
hl_liq_net_24h,72,0,,
hl_liq_net_24h,168,0,,
